0-18090 press up
19520 steer 17230
19530 steer 21752
19540 steer 22703
19560 steer 26988
19580 steer 31032
19590 steer 25321
19600 steer 34839
19610 steer 36506
19620 steer 35317
19630 steer 41741
19640 steer 36506
19650 steer 46499
19660 steer 48404
19680 steer 50784
19690 steer 52448
19700 steer 53402
19730 steer 54353
19740 steer 53164
19750 steer 52688
19760 steer 49593
19770 steer 56020
19780 steer 54353
19790 steer 57209
19800 steer 46262
19810 steer 63158
19830 steer 65300
19840 steer 65536
21320 steer 53877
21330 steer 2951
21340 steer -1282
21350 steer -12943
21360 steer -31266
21370 steer -41261
21380 steer -47448
21390 steer -51971
21400 steer -53160
21440 steer -36977
21450 steer -15561
21460 steer 0
21770-21910 press down
22370 steer -1282
22380 steer -10087
22390 steer -15323
22400 steer -16990
22410 steer -17703
22420 steer -18654
22430 steer -19845
22440 steer -21747
22450 steer -22701
22470 steer -21985
22530 steer -19845
22540 steer -17465
22550 steer -5329
22570 steer 0
22610 steer 1287
22620 steer 4143
22630 steer 4856
22640 steer 16754
22650 steer 21039
22660 steer 35317
22670 steer 48642
22680 steer 49833
22690 steer 48166
22700 steer 60540
22710 steer 65536
22870 steer 64349
22880 steer 42930
22890 steer 36744
22900 steer 19372
22910 steer 6998
22920 steer 0
22930 steer -6518
22940 steer -7707
22950 steer -12705
22960 steer -15561
22980 steer -18416
22990 steer -23652
23010 steer -24365
23050 steer -21034
23060 steer 0
23090 steer 811
23380 steer 6760
23390 steer 11043
23400 steer 16516
23410 steer 23179
23420 steer 38170
23430 steer 45310
23440 steer 51022
23450 steer 53164
23460 steer 65536
23490 steer 63871
23500 steer 63633
23510 steer 65536
24000 steer 48404
24010 steer 34363
24020 steer 37219
24030 steer 20801
24040 steer 16992
24060 steer 22228
24070 steer 28414
24080 steer 37695
24090 steer 48404
24100 steer 47453
24110 steer 65536
25210 steer 51973
25220 steer 48642
25230 steer 26750
25250 steer 13898
25260 steer 0
25280 steer -7945
25290 steer -17941
25310 steer -24603
25330 steer -39595
25340 steer -43404
25350 steer -54111
25360 steer -56253
25370 steer -62915
25380 steer -63631
25390 steer -65536
25550 steer -50542
25560 steer -55777
25570 steer -36739
25580 steer -10563
25590 steer 7236
25600 steer 12709
25610 steer 19372
25620 steer 42930
25640 steer 51973
25650 steer 56020
25660 steer 57922
25670 steer 56020
25680 steer 49355
25690 steer 36030
25700 steer 23654
25710 steer 18183
25720 steer 1049
25730 steer 0
26400 steer -6043
26410 steer -6994
26420 steer -10087
26430 steer -15085
26450 steer -17703
26460 steer -18416
26480 steer -22939
26490 steer -23652
26500 steer -22223
26510 steer -23176
26520 steer -23890
26540 steer -24841
26610 steer -20559
26620 steer -15323
26630 steer 0
26730 steer -1996
26740 steer -15085
26750 steer -15798
26790 steer -16990
26890 steer 0
27040 steer -5329
27050 steer -6280
27060 steer -15561
27070 steer -18416
27080 steer -23176
27090 steer -32932
27100 steer -43642
27110 steer -48877
27120 steer -50779
27130 steer -53397
27140 steer -54586
27150 steer -53635
27200 steer -48637
27210 steer -32219
27230 steer 0
27370 steer 1049
27380 steer 8187
27400 steer 16516
27410 steer 19610
27420 steer 21514
27430 steer 24845
27440 steer 21990
27450 steer 31270
27460 steer 35555
27470 steer 48404
27490 steer 65536
27510 steer 64109
27520 steer 64349
27530 steer 65536
27550 steer 60302
27560 steer 65536
27770-28290 press down
28440-35960 press up
29150 steer 46499
29160 steer 34126
29170 steer 21276
29180 steer 13423
29190 steer 0
29240 steer 7236
29250 steer 22228
29260 steer 50308
29270 steer 56020
29280 steer 65536
30950 steer 53877
30960 steer 54353
30970 steer 41504
30980 steer 31983
30990 steer 16516
31000 steer 6998
31010 steer 0
31200 steer -4138
31210 steer -5567
31220 steer -6518
31230 steer -7231
31280 steer -6518
31320 steer -5329
31330 steer -1282
31340 steer 0
31350 steer -1282
31360 steer 0
31500 steer 6523
31510 steer 11756
31520 steer 16516
31530 steer 22465
31540 steer 27939
31550 steer 36030
31560 steer 40313
31580 steer 41741
31640 steer 31983
31650 steer 24370
31660 steer 16992
31670 steer 12472
31680 steer 7474
31690 steer 3189
31700 steer 0
31800 steer 3429
31810 steer 10567
31820 steer 17230
31830 steer 19610
31840 steer 22941
31850 steer 28177
31860 steer 32221
31880 steer 31270
31910 steer 21276
31920 steer 21990
31930 steer 16754
31940 steer 13185
31960 steer 6045
31970 steer 6523
31980 steer 5331
32000 steer 14850
32010 steer 22941
32020 steer 26988
32030 steer 37932
32040 steer 39361
32050 steer 36030
32060 steer 50308
32070 steer 51260
32110 steer 51973
32120 steer 49117
32130 steer 32699
32140 steer 34363
32150 steer 31508
32180 steer 39361
32190 steer 37695
32200 steer 51022
32210 steer 50784
32220 steer 58638
32230 steer 65536
32580 steer 46024
32590 steer 31746
32600 steer 35077
32610 steer 21276
32620 steer 13185
32640 steer 1049
32650 steer 0
32700 steer 16992
32720 steer 30081
32730 steer 36506
32740 steer 41504
32750 steer 53402
32760 steer 55304
32770 steer 54353
32780 steer 44359
32800 steer 25797
32810 steer 17705
32830 steer 2714
32840 steer 0
32860 steer -2474
32870 steer -6756
32880 steer -8898
32890 steer -10800
32910 steer -9849
32930 steer -10800
32940 steer -12705
32950 steer -15561
32960 steer -18654
32970 steer -21272
32980 steer -23890
33000 steer -29601
33010 steer -31266
33020 steer -31981
33090 steer -24128
33100 steer -15561
33110 steer 0
33140 steer 1762
33150 steer 6045
33160 steer 7474
33170 steer 8187
33180 steer 12234
33190 steer 16278
33200 steer 29128
33210 steer 41026
33220 steer 45786
33230 steer 46737
33240 steer 58398
33250 steer 64587
33260 steer 63158
33270 steer 65536
33520-34100 press down
34650 steer 64587
34670 steer 43882
34680 steer 40550
34690 steer 33888
34700 steer 29843
34720 steer 26510
34730 steer 26988
34750 steer 28890
34760 steer 36506
34780 steer 48404
34790 steer 65062
34800 steer 65536
34980 steer 51973
35000 steer 40313
35010 steer 36030
35020 steer 18421
35030 steer 12472
35040 steer 0
35060 steer -1758
35070 steer -7231
35160 steer 0
35180 steer 1287
35190 steer 6760
35200 steer 16516
35210 steer 17230
35220 steer 21276
35230 steer 27701
35240 steer 31983
35280 steer 21276
35290 steer 16516
35300 steer 13423
35310 steer 1287
35320 steer 0
35350 steer -6280
35360 steer -6994
35370 steer -7707
35390 steer -8423
35410 steer -7707
35430 steer -8423
35480 steer -5567
35490 steer 0
35610 steer -5805
35620 steer -9136
35640 steer -12943
35650 steer -13656
35660 steer -14372
35670 steer -12705
35870 steer -9374
35880 steer -5329
35890 steer 0
35950 steer -2474
35960 steer -7945
35970 steer -12705
35980 steer -15085
35990 steer -16990
36000 steer -17703
36040 steer -23176
36050 steer -24603
36060 steer -29363
36070 steer -34361
36120 steer -21510
36130 steer -7945
36140 steer 0
36220 steer -8185
36230 steer -12467
36240 steer -13894
36260 steer -12705
36270 steer -8898
36280 steer -4851
36290 steer -6043
36300 steer -6994
36360 steer -11992
36370 steer -15323
36380 steer -24128
36400 steer -35312
36410 steer -39595
36420 steer -43879
36430 steer -42926
36450 steer -45306
