0-7750 press up
9580 steer 7152
9590 steer 6059
9600 steer 5784
9610 steer -19573
9620 steer 35257
9630 steer 5752
9640 steer 3970
9650 steer 3701
9660 steer 3487
9670 steer 3314
9680 steer -31927
9690 steer -22851
9700 steer 38907
9710 steer 39224
9720 steer 2806
9730 steer -42418
9740 steer 2806
9750 steer -45022
9760 steer 23832
9770 steer 2685
9790 steer -5324
9800 steer 56756
9810 steer 2685
9820 steer -53136
9830 steer -44006
9840 steer 2685
9850 steer 3610
9860 steer 7258
9870 steer 10019
9880 steer 38033
9890 steer -18950
9900 steer 26655
9910 steer -59483
9920 steer 58077
9930 steer 26047
9940 steer 27963
9950 steer 28101
9960 steer 28196
9990 steer 32833
10000 steer 36831
10010 steer -47147
10020 steer 7556
10030 steer 6381
10040 steer -61922
10050 steer 4254
10060 steer -12078
10070 steer 1950
10080 steer 19667
10090 steer -43711
10100 steer 742
10110 steer 1949
10120 steer -33263
10130 steer 5824
10140 steer -31229
10150 steer 54487
10160 steer -348
10170 steer 57221
10180 steer -6379
10190 steer 0
10200 steer 52571
10210 steer -58953
10220 steer 0
10240 steer -29057
10250 steer 47830
10260 steer 15500
10290 steer 33599
10300 steer 0
10310 steer 533
10320 steer 42942
10330 steer 0
10340 steer -42570
10350 steer 0
10360 steer 49479
10370 steer -10989
10380 steer 0
10390 steer 51176
10400 steer 53561
10410 steer 6245
10420 steer 53
10430 steer -38839
10440 steer 21382
10450 steer 0
10460 steer -2392
10470 steer 0
10480 steer 57197
10490 steer -9776
10500 steer 0
10530 steer 41565
10540 steer 0
10560 steer -386
10570 steer 1806
10580 steer 0
10590 steer -27705
10600 steer -12734
10610 steer 27689
10620 steer 0
10630 steer 60028
10640 steer 0
10650 steer -54874
10660 steer 0
10680 steer -6359
10690 steer 0
10700 steer 3110
10710 steer -45091
10720 steer 1153
10730 steer 835
10740 steer 936
10750 steer 30842
10760 steer -5349
10770 steer -34933
10780 steer -45474
10790 steer 20562
10800 steer -9117
10810 steer -420
10820 steer -64784
10830 steer -13237
10840 steer -4234
10850 steer -11225
10860 steer -38186
10870 steer 36815
10880 steer 11013
10890 steer -65536
10900 steer -3000
11030 steer -5792
11040 steer -642
11050 steer -8915
11070 steer -3855
11100 steer -6132
11370 steer -6562
11380 steer -6663
11390 steer -6837
11400 steer -6980
11410 steer -7314
11420 steer -8696
11430 steer -27934
11440 steer -52776
11450 steer -54785
11460 steer -63033
11470 steer -38189
11480 steer 11902
11490 steer -11530
11500 steer 43983
11510 steer -17584
11520 steer -30263
11530 steer -34396
11540 steer -39494
11550 steer -65536
11590 steer -59597
11600 steer -65536
11680 steer -65451
11690 steer -65536
11820 steer -65217
11830 steer -65536
11950 steer -65528
11960 steer -65487
11970 steer -65533
11980 steer -65536
12010 steer -65008
12020 steer -65536
12050 steer -63093
12060 steer -65536
12120 steer -65489
12130 steer -65536
12170 steer -65478
12180 steer -65536
12240 steer -63632
12250 steer -65536
12260-12270 press down
12290 steer -65414
12300 steer -65536
12330 steer -59575
12340 steer -65536
12350 steer -65407
12360 steer -63265
12370 steer -56648
12380 steer -65381
12390 steer -64206
12400 steer -53293
12410 steer -65101
12420 steer -62294
12430 steer -62657
12440 steer -65448
12450 steer -61500
12460 steer -64716
12470 steer -61731
12480 steer -65267
12490 steer -65123
12500 steer -64315
12510 steer -36870
12520 steer -59811
12530 steer -63515
12540 steer -60395
12550 steer -61141
12560 steer -63812
12570 steer -60541
12580 steer -61500
12600 steer -62677
12610 steer -65305
12620 steer -60043
12630 steer -60477
12640 steer -50254
12650 steer -58853
12660 steer 12456
12670 steer -53647
12680 steer -55100
12690 steer -54071
12700 steer -54899
12710 steer -55100
12720 steer -47233
12730 steer -55679
12740 steer -55100
12750 steer -54251
12760 steer -49083
12770 steer -55100
12780 steer -58575
12790 steer -3252
12800 steer -46846
12810 steer -62395
12820 steer -53282
12830 steer -58665
12840 steer -64496
12850 steer -24364
12860 steer -55100
12870 steer -51812
12880 steer -55100
12890 steer -63395
12900 steer -1019
12910 steer -57726
12920 steer -56262
12940 steer -56862
12950 steer -54777
12960 steer -54416
12970 steer -59148
12980 steer -55224
12990 steer -56813
13000 steer -56361
13010 steer -54693
13020 steer -55100
13030 steer -54183
13040 steer -63183
13050 steer -61165
13060 steer -61513
13070 steer 46247
13080 steer -54660
13090 steer -51644
13100 steer -55100
13110 steer -54672
13120 steer -55100
13130 steer -55380
13140 steer 32602
13150 steer -60306
13160 steer 1233
13170 steer -63781
13180 steer -43448
13190 steer -61600
13200 steer -55862
13210 steer -62123
13220 steer 32110
13230 steer -56650
13240 steer -63405
13250 steer -14603
13260 steer -64066
13270 steer 24149
13280 steer -53718
13290 steer -57752
13300 steer -1062
13310 steer -56793
13320 steer 34692
13330 steer -62100
13340 steer -60796
13350 steer -61275
13360 steer -14336
13370 steer -55100
13380 steer -60889
13390 steer -46376
13400 steer -59063
13410 steer -34932
13420 steer -51523
13430 steer -59211
13440 steer -52544
13450 steer -63957
13460 steer -46004
13470 steer -54647
13480 steer -60157
13490 steer -49672
13500 steer -53359
13510 steer -61316
13520 steer -61420
13530 steer 32470
13540 steer 37937
13550 steer -60448
13560 steer -55831
13570 steer -49518
13580 steer -45424
13590 steer -55398
13600 steer -55699
13610 steer -63149
13620 steer -65232
13630 steer -4078
13640 steer -27503
13650 steer -62805
13660 steer -61343
13670 steer -26251
13680 steer -62106
13690 steer -7930
13700 steer -63437
13710 steer -61363
13720 steer -57769
13730 steer -59166
13740 steer -57351
13750 steer 3104
13760 steer -30882
