0-16420 press up
45800 steer 19372
45810 steer 25559
45820 steer 32221
45830 steer 46737
45850 steer 51260
45860 steer 48879
45870 steer 51260
45880 steer 51022
45890 steer 52688
45910 steer 56020
45920 steer 59113
45930 steer 65536
46300 steer 56257
46310 steer 52688
46330 steer 35077
46350 steer 24608
46360 steer 24132
46390 steer 26510
46400 steer 28890
46410 steer 41504
46420 steer 41741
46430 steer 42930
46440 steer 50784
46450 steer 49117
46460 steer 57209
46480 steer 52211
46490 steer 52926
46500 steer 42930
46510 steer 36981
46520 steer 29843
46530 steer 21276
46540 steer 16041
46550 steer 13661
46560 steer 0
46600 steer -1045
46610 steer -807
46630 steer -4376
46640 steer -3425
46660 steer -4138
46700 steer -5329
46720 steer -2949
46730 steer -4614
46770 steer -8423
46780 steer -9136
46800 steer -13894
46810 steer -15561
46820 steer -17703
46840 steer -19367
46850 steer -19605
46860 steer -20796
46880 steer -22701
46890 steer -21985
46950 steer -23652
46970 steer -24841
46980 steer -26270
47000 steer -27221
47050 steer -17703
47060 steer -8423
47080 steer 0
47090 steer -3663
47100 steer -2711
47110 steer -2234
47160 steer -6994
47170 steer -10325
47180 steer -14134
47190 steer -18178
47200 steer -22939
47220 steer -23652
47230 steer -24365
47250 steer -22701
47270 steer -23414
47320 steer -19605
47330 steer 0
47430 steer -3663
47440 steer -12229
47450 steer -15323
47460 steer -19845
47470 steer -24603
47480 steer -23176
47490 steer -22223
47500 steer -23414
47510 steer -22701
47580 steer -3425
47590 steer 0
48040 steer 1049
48050 steer 3905
48060 steer 2714
48070 steer 3429
48080 steer 6523
48090 steer 6998
48100 steer 9378
48110 steer 16278
48120 steer 18421
48130 steer 22228
48140 steer 21514
48150 steer 26034
48160 steer 26750
48170 steer 24370
48190 steer 25321
48200 steer 28177
48220 steer 26750
48300 steer 27463
48330 steer 17230
48340 steer 14612
48350 steer 10329
48360 steer 4380
48370 steer 0
48470 steer -4138
48480 steer -4376
48500 steer -3663
48510 steer -4376
48530 steer -3663
48550 steer -4376
48590 steer -5805
48600 steer -6043
48610 steer -9849
48620 steer -12229
48630 steer -15323
48650 steer -17227
48660 steer -20796
48670 steer -18178
48680 steer -19130
48690 steer -18178
48710 steer -17465
48730 steer -16750
48740 steer -5567
48750 steer 0
48890 steer -4138
48900 steer -8185
48920 steer -12705
48950 steer -14372
48970 steer -13894
48980 steer -17227
48990 steer -17941
49000 steer -20321
49010 steer -22939
49020 steer -24128
49030 steer -23414
49040 steer -21985
49050 steer -33646
49060 steer -35788
49070 steer -37930
49080 steer -41499
49090 steer -40310
49100 steer -46735
49110 steer -47924
49120 steer -49353
49130 steer -51493
49140 steer -53397
49160 steer -54111
49170 steer -53397
49180 steer -54111
49390 steer -46259
49410 steer -17941
49420 steer -6043
49430 steer 0
49470 steer 811
49500 steer 0
49510 steer 1287
49520 steer 1762
49530 steer 3667
49540 steer 2238
49560 steer 3189
49570 steer 2238
49710 steer 0
50010 steer 1762
50030 steer 2476
50040 steer 4618
50050 steer 3429
50060 steer 4143
50070 steer 7949
50090 steer 10329
50100 steer 13423
50110 steer 20085
50120 steer 22941
50130 steer 29128
50140 steer 35555
50150 steer 40788
50160 steer 45548
50170 steer 51497
50180 steer 54829
50190 steer 58160
50200 steer 53640
50210 steer 57209
50220 steer 61253
50230 steer 62682
50240 steer 61969
50260 steer 62920
50280 steer 41741
50290 steer 31032
50300 steer 15803
50310 steer 3905
50320 steer 0
50330 steer -1282
50340 steer -3425
50350 steer -7231
50360 steer -13418
50370 steer -17941
50380 steer -18892
50390 steer -22223
50400 steer -23176
50420 steer -21272
50430 steer -20796
50450 steer 0
51250 steer -4138
51260 steer -6043
51270 steer -7945
51280 steer -15323
51290 steer -14847
51300 steer -15561
51310 steer -16274
51330 steer -18892
51340 steer -22939
51350 steer -32932
51370 steer -36739
51380 steer -39595
51390 steer -41737
51400 steer -43166
51420 steer -53873
51440 steer -57442
51460 steer -56015
51470 steer -58158
51480 steer -57920
51490 steer -56729
51500 steer -57442
51550 steer -58158
51600 steer -33883
51610 steer -28410
51620 steer -10563
51630 steer 0
51650 steer 3429
51660 steer 8187
51670 steer 16754
51680 steer 29128
51700 steer 33175
51710 steer 41504
51720 steer 45310
51730 steer 43882
51750 steer 44597
51760 steer 40313
51770 steer 28652
51780 steer 15327
51790 steer 12947
51800 steer 6285
51810 steer 0
